Date,Price,Open,High,Low,Vol.,Change %,RSI
18-Jul-10,0,0,0.1,0.1,0.08K,0.00%,
19-Jul-10,0,0.1,0.1,0.1,0.57K,0.00%,
20-Jul-10,0,0.1,0.1,0.1,0.26K,0.00%,
21-Jul-10,0,0.1,0.1,0.1,0.58K,0.00%,
22-Jul-10,0,0.1,0.1,0.1,2.16K,0.00%,
23-Jul-10,0,0.1,0.1,0.1,2.40K,0.00%,
24-Jul-10,0,0.1,0.1,0.1,0.50K,0.00%,
25-Jul-10,0,0.1,0.1,0.1,1.55K,0.00%,
26-Jul-10,0,0.1,0.1,0.1,0.88K,0.00%,
27-Jul-10,0,0.1,0.1,0.1,3.37K,0.00%,
28-Jul-10,0,0.1,0.1,0.1,4.39K,0.00%,
29-Jul-10,0,0.1,0.1,0.1,8.06K,0.00%,
30-Jul-10,0,0.1,0.1,0.1,3.02K,0.00%,
31-Jul-10,0,0.1,0.1,0.1,4.02K,0.00%,
1-Aug-10,0,0.1,0.1,0.1,2.60K,0.00%,
2-Aug-10,0,0.1,0.1,0.1,3.60K,0.00%,
3-Aug-10,0,0.1,0.1,0.1,9.82K,0.00%,
4-Aug-10,0,0.1,0.1,0.1,3.49K,0.00%,
5-Aug-10,0,0.1,0.1,0.1,5.03K,0.00%,
6-Aug-10,0,0.1,0.1,0.1,1.40K,0.00%,
7-Aug-10,0,0.1,0.1,0.1,2.62K,0.00%,
8-Aug-10,0,0.1,0.1,0.1,2.20K,0.00%,
9-Aug-10,0,0.1,0.1,0.1,13.63K,0.00%,
10-Aug-10,0,0.1,0.1,0.1,1.31K,0.00%,
11-Aug-10,0,0.1,0.1,0.1,14.06K,0.00%,
12-Aug-10,0,0.1,0.1,0.1,2.06K,0.00%,
13-Aug-10,0,0.1,0.1,0.1,3.59K,0.00%,
14-Aug-10,0,0.1,0.1,0.1,4.40K,0.00%,
15-Aug-10,0,0.1,0.1,0.1,4.46K,0.00%,
16-Aug-10,0,0.1,0.1,0.1,10.73K,0.00%,
17-Aug-10,0,0.1,0.1,0.1,13.19K,0.00%,
18-Aug-10,0,0.1,0.1,0.1,2.95K,0.00%,
19-Aug-10,0,0.1,0.1,0.1,0.74K,0.00%,
20-Aug-10,0,0.1,0.1,0.1,4.20K,0.00%,
21-Aug-10,0,0.1,0.1,0.1,10.44K,0.00%,
22-Aug-10,0,0.1,0.1,0.1,18.65K,0.00%,
23-Aug-10,0,0.1,0.1,0.1,4.30K,0.00%,
24-Aug-10,0,0.1,0.1,0.1,6.71K,0.00%,
25-Aug-10,0,0.1,0.1,0.1,4.23K,0.00%,
26-Aug-10,0,0.1,0.1,0.1,3.87K,0.00%,
27-Aug-10,0,0.1,0.1,0.1,9.01K,0.00%,
28-Aug-10,0,0.1,0.1,0.1,6.17K,0.00%,
29-Aug-10,0,0.1,0.1,0.1,3.17K,0.00%,
30-Aug-10,0,0.1,0.1,0,34.19K,0.00%,
31-Aug-10,0,0.1,0.1,0.1,14.89K,0.00%,
1-Sep-10,0,0.1,0.1,0.1,7.17K,0.00%,
2-Sep-10,0,0.1,0.1,0.1,8.15K,0.00%,
3-Sep-10,0,0.1,0.1,0.1,0.89K,0.00%,
4-Sep-10,0,0.1,0.1,0.1,3.30K,0.00%,
5-Sep-10,0,0.1,0.1,0.1,8.46K,0.00%,
6-Sep-10,0,0.1,0.1,0.1,0.91K,0.00%,
7-Sep-10,0,0.1,0.1,0.1,3.46K,0.00%,
8-Sep-10,0,0.1,0.1,0.1,2.35K,0.00%,
9-Sep-10,0,0.1,0.1,0.1,1.73K,0.00%,
10-Sep-10,0,0.1,0.1,0.1,4.94K,0.00%,
